"","filename","rng_seed","species_initiation_rate_good_species","species_initiation_rate_incipient_species","speciation_completion_rate","extinction_rate_good_species","extinction_rate_incipient_species","age","n_species_trees_samples","mutation_rate","n_alignments","sequence_length","mcmc_chainlength","n_beast_runs","version"
"33","article_0_0_3_1_2.RDa","1","0.1","0.1","0.1","0.4","0.4","15","2","0.01","2","1e+05","1e+06","2","0.1"
"34","article_0_0_3_2_0.RDa","1","0.1","0.1","0.1","0.4","0.4","15","2","0.001","2","1000","1e+06","2","0.1"
"35","article_0_0_3_2_1.RDa","1","0.1","0.1","0.1","0.4","0.4","15","2","0.001","2","10000","1e+06","2","0.1"
"36","article_0_0_3_2_2.RDa","1","0.1","0.1","0.1","0.4","0.4","15","2","0.001","2","1e+05","1e+06","2","0.1"
"37","article_0_1_0_0_0.RDa","1","0.1","0.1","0.3","0","0","15","2","0.1","2","1000","1e+06","2","0.1"
"38","article_0_1_0_0_1.RDa","1","0.1","0.1","0.3","0","0","15","2","0.1","2","10000","1e+06","2","0.1"
"39","article_0_1_0_0_2.RDa","1","0.1","0.1","0.3","0","0","15","2","0.1","2","1e+05","1e+06","2","0.1"
"40","article_0_1_0_1_0.RDa","1","0.1","0.1","0.3","0","0","15","2","0.01","2","1000","1e+06","2","0.1"
"41","article_0_1_0_1_1.RDa","1","0.1","0.1","0.3","0","0","15","2","0.01","2","10000","1e+06","2","0.1"
"42","article_0_1_0_1_2.RDa","1","0.1","0.1","0.3","0","0","15","2","0.01","2","1e+05","1e+06","2","0.1"
"43","article_0_1_0_2_0.RDa","1","0.1","0.1","0.3","0","0","15","2","0.001","2","1000","1e+06","2","0.1"
"44","article_0_1_0_2_1.RDa","1","0.1","0.1","0.3","0","0","15","2","0.001","2","10000","1e+06","2","0.1"
"45","article_0_1_0_2_2.RDa","1","0.1","0.1","0.3","0","0","15","2","0.001","2","1e+05","1e+06","2","0.1"
"46","article_0_1_1_0_0.RDa","1","0.1","0.1","0.3","0.1","0.1","15","2","0.1","2","1000","1e+06","2","0.1"
"47","article_0_1_1_0_1.RDa","1","0.1","0.1","0.3","0.1","0.1","15","2","0.1","2","10000","1e+06","2","0.1"
"48","article_0_1_1_0_2.RDa","1","0.1","0.1","0.3","0.1","0.1","15","2","0.1","2","1e+05","1e+06","2","0.1"
"49","article_0_1_1_1_0.RDa","1","0.1","0.1","0.3","0.1","0.1","15","2","0.01","2","1000","1e+06","2","0.1"
"50","article_0_1_1_1_1.RDa","1","0.1","0.1","0.3","0.1","0.1","15","2","0.01","2","10000","1e+06","2","0.1"
"51","article_0_1_1_1_2.RDa","1","0.1","0.1","0.3","0.1","0.1","15","2","0.01","2","1e+05","1e+06","2","0.1"
"52","article_0_1_1_2_0.RDa","1","0.1","0.1","0.3","0.1","0.1","15","2","0.001","2","1000","1e+06","2","0.1"
"53","article_0_1_1_2_1.RDa","1","0.1","0.1","0.3","0.1","0.1","15","2","0.001","2","10000","1e+06","2","0.1"
